# phMode         phFreq        naCouplingDelta          fittedDelta 
66.000000       6826130375264.314453       0.000000000000000000000000069091         446.468487980859379149478627368808 
67.000000       6827732445421.394531       -0.000000000000000000000000995691         446.364692845398053577810060232878 
68.000000       6827734211459.605469       0.000000000000000000000000631977         446.364578435457417526777135208249 
69.000000       6891193724495.554688       0.000000000000000000000000288026         442.265420020733472483698278665543 
70.000000       6928093164247.368164       0.000000000000000000000002531489         439.892976839186189863539766520262 
71.000000       6928095002426.980469       0.000000000000000000000000574862         439.892858857772353076143190264702 
72.000000       7029169434406.623047       0.000000000000000000000001602241         433.436488036639616439060773700476 
73.000000       7029169648705.079102       0.000000000000000000000001485035         433.436474413848372932989150285721 
74.000000       7102882986637.688477       -0.000000000000000000000000128406         428.767289542476305541640613228083 
75.000000       7120084343399.159180       0.000000000000000000000001085758         427.682545650482722976448712870479 
