# FQM_w,     FQM_I,     DCL_I,     ACL_I
-17.660000       -0.002814       -0.008899       -0.001999
-17.650000       -0.002807       -0.006701       -0.001993
-17.640000       -0.002800       -0.003990       -0.001987
-17.630000       -0.002793       -0.001006       -0.001981
-17.620000       -0.002785       0.001984       -0.001975
-17.610000       -0.002778       0.004712       -0.001969
-17.600000       -0.002771       0.006937       -0.001963
-17.590000       -0.002764       0.008459       -0.001957
-17.580000       -0.002757       0.009142       -0.001951
-17.570000       -0.002750       0.008927       -0.001945
-17.560000       -0.002743       0.007832       -0.001939
-17.550000       -0.002736       0.005956       -0.001933
-17.540000       -0.002729       0.003466       -0.001927
-17.530000       -0.002722       0.000586       -0.001921
-17.520000       -0.002715       -0.002428       -0.001915
-17.510000       -0.002708       -0.005306       -0.001909
-17.500000       -0.002701       -0.007789       -0.001903
-17.490000       -0.002694       -0.009657       -0.001897
-17.480000       -0.002687       -0.010741       -0.001891
-17.470000       -0.002680       -0.010945       -0.001886
-17.460000       -0.002673       -0.010249       -0.001880
-17.450000       -0.002666       -0.008716       -0.001874
-17.440000       -0.002659       -0.006482       -0.001868
-17.430000       -0.002652       -0.003746       -0.001862
-17.420000       -0.002645       -0.000752       -0.001857
-17.410000       -0.002639       0.002234       -0.001851
-17.400000       -0.002632       0.004943       -0.001845
-17.390000       -0.002625       0.007135       -0.001839
-17.380000       -0.002618       0.008615       -0.001834
-17.370000       -0.002611       0.009250       -0.001828
-17.360000       -0.002605       0.008984       -0.001822
-17.350000       -0.002598       0.007840       -0.001817
-17.340000       -0.002591       0.005922       -0.001811
-17.330000       -0.002584       0.003400       -0.001806
-17.320000       -0.002578       0.000501       -0.001800
-17.310000       -0.002571       -0.002517       -0.001794
-17.300000       -0.002564       -0.005383       -0.001789
-17.290000       -0.002558       -0.007842       -0.001783
-17.280000       -0.002551       -0.009673       -0.001778
-17.270000       -0.002545       -0.010712       -0.001772
-17.260000       -0.002538       -0.010865       -0.001767
-17.250000       -0.002531       -0.010120       -0.001761
-17.240000       -0.002525       -0.008541       -0.001756
-17.230000       -0.002518       -0.006270       -0.001750
-17.220000       -0.002512       -0.003508       -0.001745
-17.210000       -0.002505       -0.000503       -0.001739
-17.200000       -0.002499       0.002479       -0.001734
-17.190000       -0.002492       0.005170       -0.001728
-17.180000       -0.002486       0.007331       -0.001723
-17.170000       -0.002479       0.008768       -0.001718
-17.160000       -0.002473       0.009354       -0.001712
-17.150000       -0.002466       0.009037       -0.001707
-17.140000       -0.002460       0.007844       -0.001702
-17.130000       -0.002453       0.005883       -0.001696
-17.120000       -0.002447       0.003329       -0.001691
-17.110000       -0.002441       0.000410       -0.001686
-17.100000       -0.002434       -0.002612       -0.001680
-17.090000       -0.002428       -0.005468       -0.001675
-17.080000       -0.002422       -0.007902       -0.001670
-17.070000       -0.002415       -0.009696       -0.001665
-17.060000       -0.002409       -0.010690       -0.001660
-17.050000       -0.002403       -0.010794       -0.001654
-17.040000       -0.002396       -0.009998       -0.001649
-17.030000       -0.002390       -0.008373       -0.001644
-17.020000       -0.002384       -0.006064       -0.001639
-17.010000       -0.002378       -0.003276       -0.001634
-17.000000       -0.002372       -0.000258       -0.001629
-16.990000       -0.002365       0.002720       -0.001623
-16.980000       -0.002359       0.005393       -0.001618
-16.970000       -0.002353       0.007523       -0.001613
-16.960000       -0.002347       0.008918       -0.001608
-16.950000       -0.002341       0.009456       -0.001603
-16.940000       -0.002335       0.009087       -0.001598
-16.930000       -0.002328       0.007845       -0.001593
-16.920000       -0.002322       0.005840       -0.001588
-16.910000       -0.002316       0.003253       -0.001583
-16.900000       -0.002310       0.000314       -0.001578
-16.890000       -0.002304       -0.002714       -0.001573
-16.880000       -0.002298       -0.005560       -0.001568
-16.870000       -0.002292       -0.007970       -0.001563
-16.860000       -0.002286       -0.009728       -0.001558
-16.850000       -0.002280       -0.010676       -0.001553
-16.840000       -0.002274       -0.010729       -0.001548
-16.830000       -0.002268       -0.009882       -0.001544
-16.820000       -0.002262       -0.008211       -0.001539
-16.810000       -0.002256       -0.005863       -0.001534
-16.800000       -0.002250       -0.003048       -0.001529
-16.790000       -0.002244       -0.000018       -0.001524
-16.780000       -0.002238       0.002958       -0.001519
-16.770000       -0.002232       0.005614       -0.001515
-16.760000       -0.002227       0.007712       -0.001510
-16.750000       -0.002221       0.009066       -0.001505
