# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-8.320000       0.009066       -0.000034 
-8.300000       0.002844       -0.000034 
-8.280000       -0.006060       -0.000034 
-8.260000       -0.009452       -0.000034 
-8.240000       -0.004180       -0.000033 
-8.220000       0.004940       -0.000032 
-8.200000       0.009522       -0.000031 
-8.180000       0.005322       -0.000030 
-8.160000       -0.003832       -0.000031 
-8.140000       -0.009526       -0.000031 
-8.120000       -0.006496       -0.000030 
-8.100000       0.002509       -0.000029 
-8.080000       0.009219       -0.000027 
-8.060000       0.007440       -0.000027 
-8.040000       -0.001231       -0.000027 
-8.020000       -0.008835       -0.000027 
-8.000000       -0.008358       -0.000027 
-7.980000       -0.000199       -0.000025 
-7.960000       0.008160       -0.000024 
-7.940000       0.009018       -0.000023 
-7.920000       0.001546       -0.000023 
-7.900000       -0.007410       -0.000024 
-7.880000       -0.009602       -0.000023 
-7.860000       -0.002975       -0.000022 
-7.840000       0.006408       -0.000020 
-7.820000       0.009912       -0.000019 
-7.800000       0.004280       -0.000019 
-7.780000       -0.005345       -0.000020 
-7.760000       -0.010109       -0.000020 
-7.740000       -0.005597       -0.000019 
-7.720000       0.004081       -0.000017 
-7.700000       0.010031       -0.000016 
-7.680000       0.006751       -0.000015 
-7.660000       -0.002784       -0.000015 
-7.640000       -0.009816       -0.000016 
-7.620000       -0.007850       -0.000015 
-7.600000       0.001350       -0.000013 
-7.580000       0.009341       -0.000011 
-7.560000       0.008752       -0.000011 
-7.540000       0.000081       -0.000011 
-7.520000       -0.008720       -0.000011 
-7.500000       -0.009539       -0.000011 
-7.480000       -0.001577       -0.000009 
-7.460000       0.007873       -0.000007 
-7.440000       0.010109       -0.000006 
-7.420000       0.003031       -0.000006 
-7.400000       -0.006884       -0.000006 
-7.380000       -0.010512       -0.000006 
-7.360000       -0.004473       -0.000004 
-7.340000       0.005719       -0.000002 
-7.320000       0.010691       -0.000001 
-7.300000       0.005832       -0.000001 
-7.280000       -0.004431       -0.000001 
-7.260000       -0.010666       -0.000001 
-7.240000       -0.007101       0.000001 
-7.220000       0.003031       0.000003 
-7.200000       0.010427       0.000004 
-7.180000       0.008254       0.000005 
-7.160000       -0.001537       0.000005 
-7.140000       -0.009960       0.000005 
-7.120000       -0.009242       0.000006 
-7.100000       0.000008       0.000008 
-7.080000       0.009311       0.000010 
-7.060000       0.010090       0.000012 
-7.040000       0.001581       0.000012 
-7.020000       -0.008423       0.000012 
-7.000000       -0.010706       0.000013 
-6.980000       -0.003118       0.000015 
-6.960000       0.007403       0.000017 
-6.940000       0.011173       0.000019 
-6.920000       0.004679       0.000019 
-6.900000       -0.006149       0.000019 
-6.880000       -0.011351       0.000020 
-6.860000       -0.006098       0.000022 
-6.840000       0.004830       0.000024 
-6.820000       0.011390       0.000027 
-6.800000       0.007509       0.000028 
-6.780000       -0.003294       0.000028 
-6.760000       -0.011097       0.000028 
-6.740000       -0.008686       0.000030 
-6.720000       0.001777       0.000033 
-6.700000       0.010694       0.000035 
-6.680000       0.009835       0.000037 
-6.660000       -0.000066       0.000037 
-6.640000       -0.009931       0.000038 
-6.620000       -0.010661       0.000040 
-6.600000       -0.001526       0.000042 
-6.580000       0.009110       0.000045 
-6.560000       0.011451       0.000047 
-6.540000       0.003289       0.000048 
-6.520000       -0.007912       0.000049 
-6.500000       -0.011839       0.000050 
-6.480000       -0.004824       0.000053 
-6.460000       0.006733       0.000056 
-6.440000       0.012203       0.000059 
-6.420000       0.006506       0.000061 
-6.400000       -0.005171       0.000062 
-6.380000       -0.012095       0.000063 
-6.360000       -0.007848       0.000066 
-6.340000       0.003725       0.000069 
-6.320000       0.011999       0.000072 
-6.300000       0.009324       0.000075 
-6.280000       -0.001899       0.000076 
-6.260000       -0.011372       0.000077 
-6.240000       -0.010344       0.000080 
-6.220000       0.000306       0.000084 
-6.200000       0.010820       0.000088 
-6.180000       0.011502       0.000090 
-6.160000       0.001661       0.000092 
-6.140000       -0.009690       0.000094 
-6.120000       -0.012090       0.000097 
-6.100000       -0.003263       0.000101 
-6.080000       0.008725       0.000105 
-6.060000       0.012840       0.000109 
-6.040000       0.005237       0.000111 
-6.020000       -0.007145       0.000113 
-6.000000       -0.012913       0.000116 
-5.980000       -0.006700       0.000120 
-5.960000       0.005847       0.000125 
-5.940000       0.013199       0.000129 
-5.920000       0.008543       0.000133 
-5.900000       -0.003904       0.000135 
-5.880000       -0.012708       0.000138 
-5.860000       -0.009720       0.000142 
-5.840000       0.002388       0.000148 
-5.820000       0.012513       0.000153 
-5.800000       0.011303       0.000157 
-5.780000       -0.000198       0.000161 
-5.760000       -0.011448       0.000164 
-5.740000       -0.012062       0.000168 
