# FQM_w,     FQM_I,    FQM_I_of_C_after_erf  
-15.100000       0.006159       -0.000198 
-15.080000       0.004577       -0.000196 
-15.060000       -0.001405       -0.000194 
-15.040000       -0.006291       -0.000193 
-15.020000       -0.005577       -0.000191 
-15.000000       0.000099       -0.000190 
-14.980000       0.005527       -0.000188 
-14.960000       0.005709       -0.000187 
-14.940000       0.000463       -0.000185 
-14.920000       -0.005397       -0.000184 
-14.900000       -0.006475       -0.000182 
-14.880000       -0.001762       -0.000181 
-14.860000       0.004422       -0.000179 
-14.840000       0.006388       -0.000178 
-14.820000       0.002314       -0.000177 
-14.800000       -0.004067       -0.000175 
-14.780000       -0.006884       -0.000174 
-14.760000       -0.003531       -0.000172 
-14.740000       0.002926       -0.000171 
-14.720000       0.006552       -0.000170 
-14.700000       0.004000       -0.000168 
-14.680000       -0.002398       -0.000167 
-14.660000       -0.006762       -0.000165 
-14.640000       -0.005066       -0.000164 
-14.620000       0.001150       -0.000163 
-14.600000       0.006177       -0.000162 
-14.580000       0.005383       -0.000160 
-14.560000       -0.000518       -0.000159 
-14.540000       -0.006109       -0.000158 
-14.520000       -0.006237       -0.000156 
-14.500000       -0.000766       -0.000155 
-14.480000       0.005286       -0.000154 
-14.460000       0.006348       -0.000153 
-14.440000       0.001427       -0.000151 
-14.420000       -0.004964       -0.000150 
-14.400000       -0.006943       -0.000149 
-14.380000       -0.002672       -0.000148 
-14.360000       0.003938       -0.000146 
-14.340000       0.006809       -0.000145 
-14.320000       0.003285       -0.000144 
-14.300000       -0.003409       -0.000143 
-14.280000       -0.007117       -0.000142 
-14.260000       -0.004415       -0.000141 
-14.240000       0.002234       -0.000140 
-14.220000       0.006719       -0.000138 
-14.200000       0.004904       -0.000137 
-14.180000       -0.001560       -0.000136 
-14.160000       -0.006735       -0.000135 
-14.140000       -0.005849       -0.000134 
-14.120000       0.000303       -0.000133 
-14.100000       0.006075       -0.000132 
-14.080000       0.006151       -0.000131 
-14.060000       0.000442       -0.000130 
-14.040000       -0.005813       -0.000129 
-14.020000       -0.006854       -0.000128 
-14.000000       -0.001704       -0.000126 
-13.980000       0.004918       -0.000125 
-13.960000       0.006918       -0.000124 
-13.940000       0.002439       -0.000123 
-13.920000       -0.004416       -0.000122 
-13.900000       -0.007340       -0.000121 
-13.880000       -0.003626       -0.000120 
-13.860000       0.003330       -0.000119 
