# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
19.000000      0.244912      -0.000035      0.330164      -0.159956      0.366870      0.000053
19.100000      0.244919      -0.000035      0.268155      -0.250388      0.366881      0.000052
19.200000      0.244926      -0.000034      0.182189      -0.318459      0.366891      0.000051
19.300000      0.244932      -0.000034      0.079943      -0.358086      0.366901      0.000050
19.400000      0.244939      -0.000033      -0.029449      -0.365727      0.366911      0.000049
19.500000      0.244946      -0.000033      -0.136217      -0.340699      0.366921      0.000049
19.600000      0.244952      -0.000032      -0.230822      -0.285235      0.366931      0.000048
19.700000      0.244958      -0.000032      -0.304814      -0.204288      0.366940      0.000047
19.800000      0.244965      -0.000031      -0.351580      -0.105088      0.366949      0.000047
19.900000      0.244971      -0.000031      -0.366942      0.003504      0.366959      0.000046
20.000000      0.244977      -0.000030      -0.349526      0.111788      0.366968      0.000045
20.100000      0.244983      -0.000030      -0.300887      0.210093      0.366977      0.000045
20.200000      0.244989      -0.000029      -0.225368      0.289634      0.366986      0.000044
20.300000      0.244994      -0.000029      -0.129712      0.343307      0.366994      0.000043
20.400000      0.245000      -0.000028      -0.022466      0.366315      0.367003      0.000043
20.500000      0.245006      -0.000028      0.086793      0.356601      0.367011      0.000042
20.600000      0.245011      -0.000028      0.188303      0.315032      0.367020      0.000041
20.700000      0.245017      -0.000027      0.272997      0.245320      0.367028      0.000041
20.800000      0.245022      -0.000027      0.333308      0.153691      0.367036      0.000040
20.900000      0.245028      -0.000026      0.363848      0.048329      0.367044      0.000040
21.000000      0.245033      -0.000026      0.361888      -0.061355      0.367052      0.000039
21.100000      0.245038      -0.000026      0.327600      -0.165563      0.367060      0.000039
21.200000      0.245043      -0.000025      0.264047      -0.254986      0.367067      0.000038
21.300000      0.245048      -0.000025      0.176904      -0.321635      0.367075      0.000037
21.400000      0.245053      -0.000025      0.073955      -0.359555      0.367082      0.000037
21.500000      0.245058      -0.000024      -0.035604      -0.365359      0.367090      0.000036
21.600000      0.245063      -0.000024      -0.141988      -0.338526      0.367097      0.000036
21.700000      0.245068      -0.000024      -0.235691      -0.281451      0.367104      0.000035
21.800000      0.245072      -0.000023      -0.308345      -0.199233      0.367111      0.000035
21.900000      0.245077      -0.000023      -0.353457      -0.099215      0.367118      0.000035
22.000000      0.245081      -0.000023      -0.366997      0.009670      0.367125      0.000034
