# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       -0.0000776027       -0.0000208880       0.0008909947       -0.0000208880
0.0000000000       -0.0000766700       -0.0000198271       0.0008919274       -0.0000198271
0.0000000000       -0.0000757181       -0.0000188126       0.0008928794       -0.0000188126
0.0000000000       -0.0000747488       -0.0000178449       0.0008938486       -0.0000178449
0.0000000000       -0.0000737644       -0.0000169244       0.0008948331       -0.0000169244
0.0000000000       -0.0000727667       -0.0000160515       0.0008958308       -0.0000160515
0.0000000000       -0.0000717577       -0.0000152264       0.0008968397       -0.0000152264
0.0000000000       -0.0000707396       -0.0000144493       0.0008978578       -0.0000144493
0.0000000000       -0.0000697143       -0.0000137203       0.0008988831       -0.0000137203
0.0000000000       -0.0000686839       -0.0000130393       0.0008999135       -0.0000130393
0.0000000000       -0.0000676504       -0.0000124062       0.0009009471       -0.0000124062
0.0000000000       -0.0000666158       -0.0000118208       0.0009019817       -0.0000118208
0.0000000000       -0.0000655820       -0.0000112829       0.0009030154       -0.0000112829
0.0000000000       -0.0000645511       -0.0000107921       0.0009040463       -0.0000107921
0.0000000000       -0.0000635251       -0.0000103480       0.0009050724       -0.0000103480
0.0000000000       -0.0000625057       -0.0000099499       0.0009060917       -0.0000099499
0.0000000000       -0.0000614950       -0.0000095974       0.0009071024       -0.0000095974
0.0000000000       -0.0000604948       -0.0000092896       0.0009081026       -0.0000092896
0.0000000000       -0.0000595069       -0.0000090259       0.0009090905       -0.0000090259
0.0000000000       -0.0000585332       -0.0000088054       0.0009100643       -0.0000088054
0.0000000000       -0.0000575753       -0.0000086271       0.0009110221       -0.0000086271
0.0000000000       -0.0000566350       -0.0000084901       0.0009119625       -0.0000084901
0.0000000000       -0.0000557139       -0.0000083933       0.0009128836       -0.0000083933
0.0000000000       -0.0000548136       -0.0000083355       0.0009137839       -0.0000083355
0.0000000000       -0.0000539356       -0.0000083156       0.0009146618       -0.0000083156
0.0000000000       -0.0000530815       -0.0000083322       0.0009155159       -0.0000083322
0.0000000000       -0.0000522527       -0.0000083841       0.0009163448       -0.0000083841
0.0000000000       -0.0000514505       -0.0000084699       0.0009171470       -0.0000084699
0.0000000000       -0.0000506761       -0.0000085881       0.0009179213       -0.0000085881
0.0000000000       -0.0000499310       -0.0000087373       0.0009186665       -0.0000087373
0.0000000000       -0.0000492161       -0.0000089158       0.0009193814       -0.0000089158
0.0000000000       -0.0000485326       -0.0000091222       0.0009200649       -0.0000091222
0.0000000000       -0.0000478815       -0.0000093547       0.0009207160       -0.0000093547
0.0000000000       -0.0000472637       -0.0000096117       0.0009213337       -0.0000096117
0.0000000000       -0.0000466801       -0.0000098916       0.0009219173       -0.0000098916
0.0000000000       -0.0000461315       -0.0000101926       0.0009224660       -0.0000101926
0.0000000000       -0.0000456185       -0.0000105129       0.0009229789       -0.0000105129
0.0000000000       -0.0000451419       -0.0000108507       0.0009234556       -0.0000108507
0.0000000000       -0.0000447020       -0.0000112042       0.0009238955       -0.0000112042
0.0000000000       -0.0000442994       -0.0000115717       0.0009242980       -0.0000115717
0.0000000000       -0.0000439345       -0.0000119512       0.0009246630       -0.0000119512
0.0000000000       -0.0000436075       -0.0000123409       0.0009249899       -0.0000123409
0.0000000000       -0.0000433187       -0.0000127391       0.0009252788       -0.0000127391
0.0000000000       -0.0000430681       -0.0000131437       0.0009255293       -0.0000131437
0.0000000000       -0.0000428559       -0.0000135529       0.0009257416       -0.0000135529
0.0000000000       -0.0000426819       -0.0000139650       0.0009259156       -0.0000139650
0.0000000000       -0.0000425460       -0.0000143780       0.0009260514       -0.0000143780
0.0000000000       -0.0000424481       -0.0000147902       0.0009261493       -0.0000147902
0.0000000000       -0.0000423878       -0.0000151997       0.0009262096       -0.0000151997
0.0000000000       -0.0000423648       -0.0000156047       0.0009262326       -0.0000156047
0.0000000000       -0.0000423787       -0.0000160035       0.0009262188       -0.0000160035
0.0000000000       -0.0000424288       -0.0000163942       0.0009261686       -0.0000163942
0.0000000000       -0.0000425146       -0.0000167753       0.0009260828       -0.0000167753
