# time        F_Re_MC      F_Im_MC      F_Re_E17      F_Im_E17 
0.00000000000021900000       0.0031038311       0.0004591248       -0.0022231327       0.0022141012
0.00000000000022000000       0.0029967393       0.0006250789       -0.0021937162       0.0021351298
0.00000000000022100000       0.0028834078       0.0007811445       -0.0021648696       0.0020585351
0.00000000000022200000       0.0027644802       0.0009272363       -0.0021365651       0.0019842398
0.00000000000022300000       0.0026405905       0.0010633017       -0.0021087764       0.0019121691
0.00000000000022400000       0.0025123621       0.0011893193       -0.0020814792       0.0018422509
0.00000000000022500000       0.0023804065       0.0013052981       -0.0020546504       0.0017744154
0.00000000000022600000       0.0022453222       0.0014112763       -0.0020282686       0.0017085956
0.00000000000022700000       0.0021076932       0.0015073203       -0.0020023137       0.0016447264
0.00000000000022800000       0.0019680884       0.0015935234       -0.0019767667       0.0015827452
0.00000000000022900000       0.0018270606       0.0016700049       -0.0019516101       0.0015225914
0.00000000000023000000       0.0016851454       0.0017369082       -0.0019268273       0.0014642069
0.00000000000023100000       0.0015428603       0.0017944004       -0.0019024027       0.0014075350
0.00000000000023200000       0.0014007042       0.0018426706       -0.0018783217       0.0013525216
0.00000000000023300000       0.0012591566       0.0018819285       -0.0018545709       0.0012991140
0.00000000000023400000       0.0011186768       0.0019124036       -0.0018311372       0.0012472617
0.00000000000023500000       0.0009797037       0.0019343433       -0.0018080089       0.0011969156
0.00000000000023600000       0.0008426548       0.0019480120       -0.0017851746       0.0011480286
0.00000000000023700000       0.0007079264       0.0019536899       -0.0017626237       0.0011005552
0.00000000000023800000       0.0005758925       0.0019516714       -0.0017403465       0.0010544513
0.00000000000023900000       0.0004469053       0.0019422637       -0.0017183335       0.0010096745
0.00000000000024000000       0.0003212941       0.0019257859       -0.0016965760       0.0009661837
0.00000000000024100000       0.0001993661       0.0019025676       -0.0016750660       0.0009239395
0.00000000000024200000       0.0000814054       0.0018729473       -0.0016537956       0.0008829035
0.00000000000024300000       -0.0000323265       0.0018372716       -0.0016327576       0.0008430389
0.00000000000024400000       -0.0001415909       0.0017958938       -0.0016119453       0.0008043101
0.00000000000024500000       -0.0002461717       0.0017491722       -0.0015913522       0.0007666826
0.00000000000024600000       -0.0003458755       0.0016974699       -0.0015709724       0.0007301232
0.00000000000024700000       -0.0004405310       0.0016411526       -0.0015508000       0.0006945998
0.00000000000024800000       -0.0005299892       0.0015805882       -0.0015308299       0.0006600814
0.00000000000024900000       -0.0006141231       0.0015161450       -0.0015110569       0.0006265380
0.00000000000025000000       -0.0006928269       0.0014481914       -0.0014914764       0.0005939407
0.00000000000025100000       -0.0007660161       0.0013770940       -0.0014720838       0.0005622615
0.00000000000025200000       -0.0008336269       0.0013032174       -0.0014528749       0.0005314734
0.00000000000025300000       -0.0008956156       0.0012269225       -0.0014338457       0.0005015503
0.00000000000025400000       -0.0009519584       0.0011485659       -0.0014149924       0.0004724668
0.00000000000025500000       -0.0010026506       0.0010684990       -0.0013963116       0.0004441986
0.00000000000025600000       -0.0010477059       0.0009870671       -0.0013777997       0.0004167221
0.00000000000025700000       -0.0010871564       0.0009046084       -0.0013594535       0.0003900145
0.00000000000025800000       -0.0011210510       0.0008214532       -0.0013412702       0.0003640536
0.00000000000025900000       -0.0011494555       0.0007379237       -0.0013232467       0.0003388182
0.00000000000026000000       -0.0011724518       0.0006543325       -0.0013053803       0.0003142875
0.00000000000026100000       -0.0011901366       0.0005709825       -0.0012876684       0.0002904416
0.00000000000026200000       -0.0012026214       0.0004881661       -0.0012701086       0.0002672612
0.00000000000026300000       -0.0012100312       0.0004061644       -0.0012526985       0.0002447276
0.00000000000026400000       -0.0012125039       0.0003252473       -0.0012354358       0.0002228226
0.00000000000026500000       -0.0012101896       0.0002456723       -0.0012183185       0.0002015287
0.00000000000026600000       -0.0012032496       0.0001676846       -0.0012013445       0.0001808290
0.00000000000026700000       -0.0011918555       0.0000915165       -0.0011845117       0.0001607071
0.00000000000026800000       -0.0011761889       0.0000173871       -0.0011678185       0.0001411469
0.00000000000026900000       -0.0011564398       -0.0000544981       -0.0011512630       0.0001221333
0.00000000000027000000       -0.0011328064       -0.0001239473       -0.0011348435       0.0001036511
0.00000000000027100000       -0.0011054939       -0.0001907825       -0.0011185583       0.0000856860
0.00000000000027200000       -0.0010747139       -0.0002548401       -0.0011024059       0.0000682240
0.00000000000027300000       -0.0010406832       -0.0003159705       -0.0010863849       0.0000512515
0.00000000000027400000       -0.0010036234       -0.0003740383       -0.0010704937       0.0000347554
0.00000000000027500000       -0.0009637600       -0.0004289225       -0.0010547309       0.0000187230
0.00000000000027600000       -0.0009213212       -0.0004805166       -0.0010390953       0.0000031419
0.00000000000027700000       -0.0008765375       -0.0005287279       -0.0010235855       -0.0000119999
0.00000000000027800000       -0.0008296411       -0.0005734782       -0.0010082003       -0.0000267139
0.00000000000027900000       -0.0007808643       -0.0006147031       -0.0009929385       -0.0000410114
0.00000000000028000000       -0.0007304398       -0.0006523519       -0.0009777990       -0.0000549033
0.00000000000028100000       -0.0006785991       -0.0006863879       -0.0009627806       -0.0000684001
0.00000000000028200000       -0.0006255724       -0.0007167873       -0.0009478822       -0.0000815121
0.00000000000028300000       -0.0005715876       -0.0007435398       -0.0009331029       -0.0000942493
0.00000000000028400000       -0.0005168696       -0.0007666476       -0.0009184415       -0.0001066212
0.00000000000028500000       -0.0004616398       -0.0007861255       -0.0009038970       -0.0001186372
0.00000000000028600000       -0.0004061156       -0.0008020002       -0.0008894686       -0.0001303065
0.00000000000028700000       -0.0003505095       -0.0008143103       -0.0008751553       -0.0001416377
0.00000000000028800000       -0.0002950287       -0.0008231054       -0.0008609562       -0.0001526395
0.00000000000028900000       -0.0002398746       -0.0008284462       -0.0008468704       -0.0001633201
0.00000000000029000000       -0.0001852423       -0.0008304035       -0.0008328970       -0.0001736875
0.00000000000029100000       -0.0001313202       -0.0008290582       -0.0008190352       -0.0001837496
0.00000000000029200000       -0.0000782892       -0.0008245004       -0.0008052841       -0.0001935140
0.00000000000029300000       -0.0000263228       -0.0008168291       -0.0007916430       -0.0002029880
0.00000000000029400000       0.0000244137       -0.0008061517       -0.0007781111       -0.0002121786
0.00000000000029500000       0.0000737631       -0.0007925832       -0.0007646875       -0.0002210930
0.00000000000029600000       0.0001215772       -0.0007762459       -0.0007513716       -0.0002297377
0.00000000000029700000       0.0001677165       -0.0007572687       -0.0007381625       -0.0002381193
0.00000000000029800000       0.0002120508       -0.0007357868       -0.0007250596       -0.0002462443
0.00000000000029900000       0.0002544592       -0.0007119405       -0.0007120621       -0.0002541186
0.00000000000030000000       0.0002948305       -0.0006858753       -0.0006991694       -0.0002617483
0.00000000000030100000       0.0003330631       -0.0006577410       -0.0006863806       -0.0002691392
0.00000000000030200000       0.0003690653       -0.0006276910       -0.0006736952       -0.0002762970
0.00000000000030300000       0.0004027553       -0.0005958820       -0.0006611124       -0.0002832271
0.00000000000030400000       0.0004340612       -0.0005624731       -0.0006486316       -0.0002899349
0.00000000000030500000       0.0004629211       -0.0005276256       -0.0006362520       -0.0002964255
0.00000000000030600000       0.0004892831       -0.0004915020       -0.0006239731       -0.0003027040
0.00000000000030700000       0.0005131051       -0.0004542658       -0.0006117942       -0.0003087753
0.00000000000030800000       0.0005343549       -0.0004160808       -0.0005997146       -0.0003146440
0.00000000000030900000       0.0005530101       -0.0003771105       -0.0005877337       -0.0003203148
0.00000000000031000000       0.0005690577       -0.0003375176       -0.0005758508       -0.0003257922
0.00000000000031100000       0.0005824943       -0.0002974636       -0.0005640654       -0.0003310806
0.00000000000031200000       0.0005933256       -0.0002571082       -0.0005523767       -0.0003361842
0.00000000000031300000       0.0006015666       -0.0002166086       -0.0005407843       -0.0003411071
0.00000000000031400000       0.0006072409       -0.0001761195       -0.0005292873       -0.0003458534
