# time   C_FQM_Re    C_FQM_Im    C_FQM_Re_erf    C_FQM_Im_erf 
21.300000       0.118073       0.214725       0.118073      0.214725 
21.400000       0.049346       0.240033       0.049346      0.240033 
21.500000       -0.023793       0.243900       -0.023793      0.243900 
21.600000       -0.094809       0.225980       -0.094809      0.225980 
21.700000       -0.157358       0.187873       -0.157358      0.187873 
21.800000       -0.205854       0.132982       -0.205854      0.132982 
21.900000       -0.235963       0.066211       -0.235963      0.066211 
22.000000       -0.244995       -0.006478       -0.244995      -0.006478 
22.100000       -0.232143       -0.078591       -0.232143      -0.078591 
22.200000       -0.198553       -0.143686       -0.198553      -0.143686 
22.300000       -0.147226       -0.195948       -0.147226      -0.195948 
22.400000       -0.082746       -0.230709       -0.082746      -0.230709 
22.500000       -0.010872       -0.244862       -0.010872      -0.244862 
22.600000       0.061976       -0.237142       0.061976      -0.237142 
22.700000       0.129290       -0.208240       0.129290      -0.208240 
22.800000       0.185057       -0.160734       0.185057      -0.160734 
22.900000       0.224295       -0.098869       0.224295      -0.098869 
23.000000       0.243499       -0.028170       0.243499      -0.028170 
23.100000       0.240953       0.045047       0.240953      0.045047 
23.200000       0.216882       0.114243       0.216882      0.114243 
23.300000       0.173438       0.173236       0.173438      0.173236 
23.400000       0.114499       0.216756       0.114499      0.216756 
23.500000       0.045330       0.240915       0.045330      0.240915 
23.600000       -0.027890       0.243555       -0.027890      0.243555 
23.700000       -0.098620       0.224438       -0.098620      0.224438 
23.800000       -0.160544       0.185273       -0.160544      0.185273 
23.900000       -0.208128       0.129556       -0.208128      0.129556 
24.000000       -0.237122       0.062265       -0.237122      0.062265 
24.100000       -0.244935       -0.010590       -0.244935      -0.010590 
24.200000       -0.230870       -0.082501       -0.230870      -0.082501 
24.300000       -0.196181       -0.147045       -0.196181      -0.147045 
24.400000       -0.143966       -0.198455       -0.143966      -0.198455 
24.500000       -0.078890       -0.232139       -0.078890      -0.232139 
24.600000       -0.006765       -0.245088       -0.006765      -0.245088 
24.700000       0.065966       -0.236144       0.065966      -0.236144 
24.800000       0.132806       -0.206106       0.132806      -0.206106 
24.900000       0.187785       -0.157656       0.187785      -0.157656 
25.000000       0.225991       -0.095122       0.225991      -0.095122 
25.100000       0.244011       -0.024089       0.244011      -0.024089 
25.200000       0.240234       0.049097       0.240234      0.049097 
25.300000       0.214998       0.117900       0.214998      0.117900 
25.400000       0.170556       0.176172       0.170556      0.176172 
25.500000       0.110878       0.218709       0.110878      0.218709 
25.600000       0.041294       0.241710       0.041294      0.241710 
25.700000       -0.031981       0.243120       -0.031981      0.243120 
25.800000       -0.102400       0.222814       -0.102400      0.222814 
25.900000       -0.163674       0.182603       -0.163674      0.182603 
26.000000       -0.210329       0.126080       -0.210329      0.126080 
26.100000       -0.238197       0.058294       -0.238197      0.058294 
26.200000       -0.244787       -0.014702       -0.244787      -0.014702 
26.300000       -0.229512       -0.086385       -0.229512      -0.086385 
26.400000       -0.193735       -0.150354       -0.193735      -0.150354 
26.500000       -0.140652       -0.200893       -0.140652      -0.200893 
26.600000       -0.075003       -0.233488       -0.075003      -0.233488 
26.700000       -0.002653       -0.245227       -0.002653      -0.245227 
26.800000       0.069936       -0.235061       0.069936      -0.235061 
26.900000       0.136279       -0.203897       0.136279      -0.203897 
27.000000       0.190449       -0.154519       0.190449      -0.154519 
27.100000       0.227609       -0.091338       0.227609      -0.091338 
27.200000       0.244438       -0.019996       0.244438      -0.019996 
27.300000       0.239432       0.053134       0.239432      0.053134 
27.400000       0.213038       0.121518       0.213038      0.121518 
27.500000       0.167614       0.179050       0.167614      0.179050 
27.600000       0.107216       0.220588       0.107216      0.220588 
27.700000       0.037240       0.242422       0.037240      0.242422 
27.800000       -0.036064       0.242602       -0.036064      0.242602 
27.900000       -0.106148       0.221111       -0.106148      0.221111 
28.000000       -0.166751       0.179869       -0.166751      0.179869 
28.100000       -0.212460       0.122558       -0.212460      0.122558 
28.200000       -0.239191       0.054299       -0.239191      0.054299 
28.300000       -0.244557       -0.018812       -0.244557      -0.018812 
28.400000       -0.228077       -0.090243       -0.228077      -0.090243 
28.500000       -0.191223       -0.153615       -0.191223      -0.153615 
28.600000       -0.137288       -0.203266       -0.137288      -0.203266 
28.700000       -0.071088       -0.234761       -0.071088      -0.234761 
28.800000       0.001464       -0.245285       0.001464      -0.245285 
28.900000       0.073885       -0.233899       0.073885      -0.233899 
29.000000       0.139708       -0.201620       0.139708      -0.201620 
29.100000       0.193052       -0.151330       0.193052      -0.151330 
29.200000       0.229153       -0.087521       0.229153      -0.087521 
29.300000       0.244784       -0.015893       0.244784      -0.015893 
29.400000       0.238550       0.057155       0.238550      0.057155 
29.500000       0.211007       0.125100       0.211007      0.125100 
29.600000       0.164614       0.181870       0.164614      0.181870 
29.700000       0.103517       0.222396       0.103517      0.222396 
29.800000       0.033172       0.243056       0.033172      0.243056 
29.900000       -0.040138       0.242005       -0.040138      0.242005 
30.000000       -0.109863       0.219336       -0.109863      0.219336 
30.100000       -0.169775       0.177075       -0.169775      0.177075 
30.200000       -0.214523       0.118995       -0.214523      0.118995 
30.300000       -0.240109       0.050285       -0.240109      0.050285 
30.400000       -0.244247       -0.022918       -0.244247      -0.022918 
30.500000       -0.226567       -0.094074       -0.226567      -0.094074 
30.600000       -0.188648       -0.156829       -0.188648      -0.156829 
30.700000       -0.133878       -0.205575       -0.133878      -0.205575 
30.800000       -0.067148       -0.235958       -0.067148      -0.235958 
30.900000       0.005582       -0.245265       0.005582      -0.245265 
31.000000       0.077813       -0.232663       0.077813      -0.232663 
31.100000       0.143095       -0.199277       0.143095      -0.199277 
31.200000       0.195595       -0.148090       0.195595      -0.148090 
31.300000       0.230625       -0.083675       0.230625      -0.083675 
31.400000       0.245053       -0.011784       0.245053      -0.011784 
31.500000       0.237592       0.061161       0.237592      0.061161 
31.600000       0.208908       0.128643       0.208908      0.128643 
31.700000       0.161562       0.184635       0.161562      0.184635 
31.800000       0.099783       0.224134       0.099783      0.224134 
31.900000       0.029091       0.243613       0.029091      0.243613 
32.000000       -0.044201       0.241331       -0.044201      0.241331 
32.100000       -0.113545       0.217492       -0.113545      0.217492 
32.200000       -0.172748       0.174224       -0.172748      0.174224 
32.300000       -0.216520       0.115393       -0.216520      0.115393 
32.400000       -0.240952       0.046253       -0.240952      0.046253 
32.500000       -0.243861       -0.027018       -0.243861      -0.027018 
32.600000       -0.224986       -0.097878       -0.224986      -0.097878 
32.700000       -0.186014       -0.159995       -0.186014      -0.159995 
32.800000       -0.130425       -0.207821       -0.130425      -0.207821 
32.900000       -0.063185       -0.237083       -0.063185      -0.237083 
33.000000       0.009700       -0.245168       0.009700      -0.245168 
33.100000       0.081719       -0.231353       0.081719      -0.231353 
33.200000       0.146439       -0.196872       0.146439      -0.196872 
33.300000       0.198079       -0.144804       0.198079      -0.144804 
33.400000       0.232026       -0.079801       0.232026      -0.079801 
33.500000       0.245247       -0.007669       0.245247      -0.007669 
33.600000       0.236561       0.065149       0.236561      0.065149 
33.700000       0.206743       0.132148       0.206743      0.132148 
33.800000       0.158458       0.187344       0.158458      0.187344 
33.900000       0.096018       0.225805       0.096018      0.225805 
34.000000       0.025000       0.244096       0.025000      0.244096 
34.100000       -0.048252       0.240583       -0.048252      0.240583 
34.200000       -0.117194       0.215580       -0.117194      0.215580 
34.300000       -0.175669       0.171319       -0.175669      0.171319 
34.400000       -0.218452       0.111754       -0.218452      0.111754 
34.500000       -0.241722       0.042206       -0.241722      0.042206 
34.600000       -0.243400       -0.031112       -0.243400      -0.031112 
34.700000       -0.223336       -0.101652       -0.223336      -0.101652 
34.800000       -0.183321       -0.163113       -0.183321      -0.163113 
34.900000       -0.126931       -0.210004       -0.126931      -0.210004 
35.000000       -0.059202       -0.238136       -0.059202      -0.238136 
35.100000       0.013816       -0.244997       0.013816      -0.244997 
35.200000       0.085600       -0.229973       0.085600      -0.229973 
35.300000       0.149739       -0.194406       0.149739      -0.194406 
35.400000       0.200503       -0.141473       0.200503      -0.141473 
35.500000       0.233357       -0.075902       0.233357      -0.075902 
35.600000       0.245366       -0.003551       0.245366      -0.003551 
35.700000       0.235457       0.069119       0.235457      0.069119 
35.800000       0.204516       0.135614       0.204516      0.135614 
35.900000       0.155306       0.189997       0.155306      0.189997 
