# time        DeltaCorr_Re_MC      DeltaCorr_Im_MC      DeltaCorr_Re_E17      DeltaCorr_Im_E17 
0.0000000000       0.0000260072       -0.0001143814       0.0010473387       -0.0001143814
0.0000000000       0.0000258775       -0.0001140168       0.0010472090       -0.0001140168
0.0000000000       0.0000257601       -0.0001137001       0.0010470916       -0.0001137001
0.0000000000       0.0000256524       -0.0001134312       0.0010469839       -0.0001134312
0.0000000000       0.0000255516       -0.0001132102       0.0010468831       -0.0001132102
0.0000000000       0.0000254551       -0.0001130370       0.0010467866       -0.0001130370
0.0000000000       0.0000253602       -0.0001129112       0.0010466917       -0.0001129112
0.0000000000       0.0000252642       -0.0001128326       0.0010465957       -0.0001128326
0.0000000000       0.0000251646       -0.0001128005       0.0010464961       -0.0001128005
0.0000000000       0.0000250588       -0.0001128145       0.0010463904       -0.0001128145
0.0000000000       0.0000249443       -0.0001128737       0.0010462759       -0.0001128737
0.0000000000       0.0000248187       -0.0001129773       0.0010461502       -0.0001129773
0.0000000000       0.0000246794       -0.0001131244       0.0010460109       -0.0001131244
0.0000000000       0.0000245241       -0.0001133138       0.0010458556       -0.0001133138
0.0000000000       0.0000243505       -0.0001135445       0.0010456820       -0.0001135445
0.0000000000       0.0000241564       -0.0001138151       0.0010454880       -0.0001138151
0.0000000000       0.0000239397       -0.0001141244       0.0010452712       -0.0001141244
0.0000000000       0.0000236981       -0.0001144707       0.0010450296       -0.0001144707
0.0000000000       0.0000234298       -0.0001148526       0.0010447613       -0.0001148526
0.0000000000       0.0000231327       -0.0001152685       0.0010444642       -0.0001152685
0.0000000000       0.0000228050       -0.0001157165       0.0010441365       -0.0001157165
0.0000000000       0.0000224450       -0.0001161949       0.0010437765       -0.0001161949
0.0000000000       0.0000220509       -0.0001167019       0.0010433824       -0.0001167019
0.0000000000       0.0000216213       -0.0001172354       0.0010429528       -0.0001172354
0.0000000000       0.0000211546       -0.0001177934       0.0010424861       -0.0001177934
0.0000000000       0.0000206494       -0.0001183739       0.0010419809       -0.0001183739
0.0000000000       0.0000201046       -0.0001189748       0.0010414361       -0.0001189748
0.0000000000       0.0000195188       -0.0001195938       0.0010408503       -0.0001195938
0.0000000000       0.0000188911       -0.0001202287       0.0010402227       -0.0001202287
0.0000000000       0.0000182206       -0.0001208772       0.0010395521       -0.0001208772
0.0000000000       0.0000175062       -0.0001215371       0.0010388378       -0.0001215371
0.0000000000       0.0000167474       -0.0001222059       0.0010380790       -0.0001222059
0.0000000000       0.0000159436       -0.0001228814       0.0010372751       -0.0001228814
0.0000000000       0.0000150941       -0.0001235610       0.0010364256       -0.0001235610
0.0000000000       0.0000141986       -0.0001242424       0.0010355301       -0.0001242424
0.0000000000       0.0000132569       -0.0001249233       0.0010345884       -0.0001249233
0.0000000000       0.0000122688       -0.0001256010       0.0010336003       -0.0001256010
0.0000000000       0.0000112341       -0.0001262733       0.0010325657       -0.0001262733
0.0000000000       0.0000101531       -0.0001269376       0.0010314846       -0.0001269376
0.0000000000       0.0000090259       -0.0001275917       0.0010303574       -0.0001275917
0.0000000000       0.0000078527       -0.0001282330       0.0010291842       -0.0001282330
0.0000000000       0.0000066340       -0.0001288592       0.0010279655       -0.0001288592
0.0000000000       0.0000053703       -0.0001294679       0.0010267018       -0.0001294679
