# time   C_FQM_Re    C_FQM_Im    C_DCL_Re    C_DCL_Im    C_ACL_Re   C_ACL_Im
13.600000      0.570703      0.000055      -0.432073      0.423368      0.604920      0.000058
13.700000      0.570725      0.000054      -0.399151      0.454570      0.604943      0.000057
13.800000      0.570746      0.000053      -0.363982      0.483219      0.604965      0.000056
13.900000      0.570767      0.000052      -0.326763      0.509152      0.604987      0.000055
14.000000      0.570787      0.000050      -0.287704      0.532224      0.605009      0.000053
14.100000      0.570807      0.000049      -0.247025      0.552304      0.605030      0.000052
14.200000      0.570827      0.000048      -0.204953      0.569281      0.605051      0.000051
14.300000      0.570846      0.000047      -0.161726      0.583057      0.605071      0.000050
14.400000      0.570865      0.000046      -0.117587      0.593556      0.605091      0.000049
14.500000      0.570883      0.000045      -0.072784      0.600717      0.605110      0.000048
14.600000      0.570901      0.000045      -0.027569      0.604501      0.605129      0.000047
14.700000      0.570919      0.000044      0.017804      0.604886      0.605148      0.000046
14.800000      0.570936      0.000043      0.063080      0.601870      0.605166      0.000045
14.900000      0.570953      0.000042      0.108004      0.595469      0.605184      0.000045
15.000000      0.570970      0.000041      0.152323      0.585719      0.605202      0.000044
15.100000      0.570986      0.000040      0.195788      0.572676      0.605219      0.000043
15.200000      0.571002      0.000040      0.238155      0.556411      0.605236      0.000042
15.300000      0.571018      0.000039      0.279185      0.537017      0.605253      0.000041
15.400000      0.571033      0.000038      0.318647      0.514602      0.605269      0.000040
15.500000      0.571048      0.000037      0.356320      0.489292      0.605285      0.000040
15.600000      0.571063      0.000037      0.391991      0.461229      0.605301      0.000039
15.700000      0.571077      0.000036      0.425459      0.430572      0.605316      0.000038
15.800000      0.571092      0.000035      0.456537      0.397492      0.605332      0.000037
15.900000      0.571106      0.000035      0.485050      0.362175      0.605346      0.000037
16.000000      0.571119      0.000034      0.510836      0.324820      0.605361      0.000036
16.100000      0.571133      0.000033      0.533751      0.285637      0.605375      0.000035
16.200000      0.571146      0.000033      0.553667      0.244846      0.605389      0.000035
16.300000      0.571159      0.000032      0.570469      0.202676      0.605403      0.000034
16.400000      0.571172      0.000032      0.584065      0.159365      0.605417      0.000034
16.500000      0.571184      0.000031      0.594377      0.115156      0.605430      0.000033
16.600000      0.571197      0.000031      0.601348      0.070297      0.605443      0.000032
16.700000      0.571209      0.000030      0.604938      0.025041      0.605456      0.000032
16.800000      0.571221      0.000029      0.605126      -0.020358      0.605468      0.000031
16.900000      0.571232      0.000029      0.601912      -0.065644      0.605481      0.000031
17.000000      0.571244      0.000028      0.595313      -0.110563      0.605493      0.000030
17.100000      0.571255      0.000028      0.585367      -0.154861      0.605505      0.000030
17.200000      0.571266      0.000028      0.572129      -0.198291      0.605517      0.000029
17.300000      0.571277      0.000027      0.555673      -0.240608      0.605528      0.000029
17.400000      0.571288      0.000027      0.536092      -0.281573      0.605540      0.000028
17.500000      0.571298      0.000026      0.513496      -0.320957      0.605551      0.000028
17.600000      0.571309      0.000026      0.488013      -0.358537      0.605562      0.000027
