# FQM_w,     FQM_I,     DCL_I,     ACL_I
-17.460000       -0.002496       -0.012999       -0.001292
-17.450000       -0.002490       -0.010933       -0.001287
-17.440000       -0.002483       -0.007920       -0.001281
-17.430000       -0.002476       -0.004230       -0.001276
-17.420000       -0.002470       -0.000192       -0.001271
-17.410000       -0.002463       0.003834       -0.001266
-17.400000       -0.002457       0.007488       -0.001261
-17.390000       -0.002450       0.010444       -0.001255
-17.380000       -0.002444       0.012438       -0.001250
-17.370000       -0.002438       0.013291       -0.001245
-17.360000       -0.002431       0.012928       -0.001240
-17.350000       -0.002425       0.011381       -0.001235
-17.340000       -0.002418       0.008789       -0.001230
-17.330000       -0.002412       0.005381       -0.001225
-17.320000       -0.002406       0.001464       -0.001219
-17.310000       -0.002399       -0.002613       -0.001214
-17.300000       -0.002393       -0.006485       -0.001209
-17.290000       -0.002387       -0.009808       -0.001204
-17.280000       -0.002380       -0.012282       -0.001199
-17.270000       -0.002374       -0.013688       -0.001194
-17.260000       -0.002368       -0.013899       -0.001189
-17.250000       -0.002361       -0.012896       -0.001184
-17.240000       -0.002355       -0.010768       -0.001179
-17.230000       -0.002349       -0.007705       -0.001174
-17.220000       -0.002343       -0.003981       -0.001169
-17.210000       -0.002336       0.000073       -0.001164
-17.200000       -0.002330       0.004094       -0.001159
-17.190000       -0.002324       0.007723       -0.001154
-17.180000       -0.002318       0.010637       -0.001149
-17.170000       -0.002312       0.012574       -0.001144
-17.160000       -0.002306       0.013362       -0.001139
-17.150000       -0.002300       0.012930       -0.001134
-17.140000       -0.002293       0.011317       -0.001129
-17.130000       -0.002287       0.008667       -0.001124
-17.120000       -0.002281       0.005216       -0.001119
-17.110000       -0.002275       0.001273       -0.001114
-17.100000       -0.002269       -0.002810       -0.001109
-17.090000       -0.002263       -0.006669       -0.001104
-17.080000       -0.002257       -0.009958       -0.001100
-17.070000       -0.002251       -0.012383       -0.001095
-17.060000       -0.002245       -0.013727       -0.001090
-17.050000       -0.002239       -0.013870       -0.001085
-17.040000       -0.002233       -0.012799       -0.001080
-17.030000       -0.002227       -0.010609       -0.001075
-17.020000       -0.002221       -0.007495       -0.001070
-17.010000       -0.002215       -0.003735       -0.001066
-17.000000       -0.002209       0.000336       -0.001061
-16.990000       -0.002204       0.004353       -0.001056
-16.980000       -0.002198       0.007958       -0.001051
-16.970000       -0.002192       0.010829       -0.001046
-16.960000       -0.002186       0.012710       -0.001042
-16.950000       -0.002180       0.013433       -0.001037
-16.940000       -0.002174       0.012932       -0.001032
-16.930000       -0.002169       0.011252       -0.001027
-16.920000       -0.002163       0.008543       -0.001023
-16.910000       -0.002157       0.005048       -0.001018
-16.900000       -0.002151       0.001078       -0.001013
-16.890000       -0.002145       -0.003013       -0.001008
-16.880000       -0.002140       -0.006858       -0.001004
-16.870000       -0.002134       -0.010114       -0.000999
-16.860000       -0.002128       -0.012489       -0.000994
-16.850000       -0.002123       -0.013772       -0.000990
-16.840000       -0.002117       -0.013847       -0.000985
-16.830000       -0.002111       -0.012707       -0.000980
-16.820000       -0.002106       -0.010454       -0.000976
-16.810000       -0.002100       -0.007288       -0.000971
-16.800000       -0.002094       -0.003491       -0.000966
-16.790000       -0.002089       0.000597       -0.000962
-16.780000       -0.002083       0.004611       -0.000957
-16.770000       -0.002077       0.008193       -0.000953
-16.760000       -0.002072       0.011022       -0.000948
-16.750000       -0.002066       0.012847       -0.000943
-16.740000       -0.002061       0.013504       -0.000939
-16.730000       -0.002055       0.012933       -0.000934
-16.720000       -0.002050       0.011186       -0.000930
-16.710000       -0.002044       0.008418       -0.000925
-16.700000       -0.002039       0.004877       -0.000921
-16.690000       -0.002033       0.000879       -0.000916
-16.680000       -0.002028       -0.003219       -0.000912
-16.670000       -0.002022       -0.007052       -0.000907
-16.660000       -0.002017       -0.010275       -0.000903
-16.650000       -0.002011       -0.012602       -0.000898
-16.640000       -0.002006       -0.013823       -0.000894
-16.630000       -0.002001       -0.013830       -0.000889
-16.620000       -0.001995       -0.012620       -0.000885
-16.610000       -0.001990       -0.010303       -0.000880
-16.600000       -0.001984       -0.007083       -0.000876
-16.590000       -0.001979       -0.003250       -0.000871
-16.580000       -0.001974       0.000857       -0.000867
-16.570000       -0.001968       0.004868       -0.000862
-16.560000       -0.001963       0.008428       -0.000858
-16.550000       -0.001958       0.011216       -0.000853
-16.540000       -0.001953       0.012985       -0.000849
-16.530000       -0.001947       0.013575       -0.000845
-16.520000       -0.001942       0.012934       -0.000840
-16.510000       -0.001937       0.011119       -0.000836
-16.500000       -0.001932       0.008291       -0.000831
-16.490000       -0.001926       0.004704       -0.000827
-16.480000       -0.001921       0.000677       -0.000823
-16.470000       -0.001916       -0.003431       -0.000818
-16.460000       -0.001911       -0.007251       -0.000814
-16.450000       -0.001906       -0.010442       -0.000810
-16.440000       -0.001900       -0.012720       -0.000805
-16.430000       -0.001895       -0.013880       -0.000801
-16.420000       -0.001890       -0.013817       -0.000797
-16.410000       -0.001885       -0.012538       -0.000792
-16.400000       -0.001880       -0.010155       -0.000788
-16.390000       -0.001875       -0.006882       -0.000784
-16.380000       -0.001870       -0.003010       -0.000780
-16.370000       -0.001865       0.001116       -0.000775
-16.360000       -0.001860       0.005126       -0.000771
-16.350000       -0.001855       0.008663       -0.000767
-16.340000       -0.001850       0.011411       -0.000762
-16.330000       -0.001845       0.013123       -0.000758
-16.320000       -0.001840       0.013647       -0.000754
-16.310000       -0.001835       0.012935       -0.000750
-16.300000       -0.001830       0.011051       -0.000746
-16.290000       -0.001825       0.008163       -0.000741
-16.280000       -0.001820       0.004528       -0.000737
-16.270000       -0.001815       0.000470       -0.000733
-16.260000       -0.001810       -0.003646       -0.000729
-16.250000       -0.001805       -0.007455       -0.000725
-16.240000       -0.001800       -0.010615       -0.000720
-16.230000       -0.001795       -0.012843       -0.000716
-16.220000       -0.001790       -0.013941       -0.000712
-16.210000       -0.001785       -0.013809       -0.000708
-16.200000       -0.001780       -0.012459       -0.000704
-16.190000       -0.001776       -0.010010       -0.000700
-16.180000       -0.001771       -0.006682       -0.000695
-16.170000       -0.001766       -0.002770       -0.000691
-16.160000       -0.001761       0.001375       -0.000687
-16.150000       -0.001756       0.005385       -0.000683
-16.140000       -0.001751       0.008900       -0.000679
-16.130000       -0.001747       0.011607       -0.000675
-16.120000       -0.001742       0.013262       -0.000671
-16.110000       -0.001737       0.013719       -0.000667
-16.100000       -0.001732       0.012936       -0.000663
-16.090000       -0.001728       0.010982       -0.000659
-16.080000       -0.001723       0.008032       -0.000655
-16.070000       -0.001718       0.004349       -0.000650
-16.060000       -0.001714       0.000261       -0.000646
-16.050000       -0.001709       -0.003866       -0.000642
-16.040000       -0.001704       -0.007664       -0.000638
-16.030000       -0.001700       -0.010792       -0.000634
-16.020000       -0.001695       -0.012972       -0.000630
-16.010000       -0.001690       -0.014007       -0.000626
-16.000000       -0.001686       -0.013805       -0.000622
-15.990000       -0.001681       -0.012383       -0.000618
-15.980000       -0.001676       -0.009868       -0.000614
-15.970000       -0.001672       -0.006483       -0.000610
-15.960000       -0.001667       -0.002531       -0.000606
-15.950000       -0.001663       0.001635       -0.000602
-15.940000       -0.001658       0.005645       -0.000598
-15.930000       -0.001654       0.009138       -0.000595
-15.920000       -0.001649       0.011804       -0.000591
-15.910000       -0.001645       0.013403       -0.000587
-15.900000       -0.001640       0.013793       -0.000583
-15.890000       -0.001636       0.012937       -0.000579
-15.880000       -0.001631       0.010913       -0.000575
-15.870000       -0.001627       0.007900       -0.000571
-15.860000       -0.001622       0.004167       -0.000567
-15.850000       -0.001618       0.000047       -0.000563
-15.840000       -0.001613       -0.004091       -0.000559
-15.830000       -0.001609       -0.007878       -0.000555
-15.820000       -0.001604       -0.010975       -0.000552
-15.810000       -0.001600       -0.013105       -0.000548
-15.800000       -0.001596       -0.014078       -0.000544
-15.790000       -0.001591       -0.013805       -0.000540
-15.780000       -0.001587       -0.012310       -0.000536
-15.770000       -0.001582       -0.009727       -0.000532
-15.760000       -0.001578       -0.006285       -0.000529
-15.750000       -0.001574       -0.002292       -0.000525
-15.740000       -0.001569       0.001896       -0.000521
-15.730000       -0.001565       0.005906       -0.000517
-15.720000       -0.001561       0.009378       -0.000513
-15.710000       -0.001556       0.012003       -0.000510
-15.700000       -0.001552       0.013545       -0.000506
-15.690000       -0.001548       0.013867       -0.000502
-15.680000       -0.001544       0.012938       -0.000498
-15.670000       -0.001539       0.010842       -0.000495
-15.660000       -0.001535       0.007765       -0.000491
-15.650000       -0.001531       0.003982       -0.000487
-15.640000       -0.001527       -0.000170       -0.000483
-15.630000       -0.001522       -0.004320       -0.000480
-15.620000       -0.001518       -0.008096       -0.000476
-15.610000       -0.001514       -0.011162       -0.000472
-15.600000       -0.001510       -0.013243       -0.000468
-15.590000       -0.001506       -0.014152       -0.000465
-15.580000       -0.001502       -0.013807       -0.000461
-15.570000       -0.001497       -0.012239       -0.000457
-15.560000       -0.001493       -0.009587       -0.000454
-15.550000       -0.001489       -0.006088       -0.000450
-15.540000       -0.001485       -0.002052       -0.000446
-15.530000       -0.001481       0.002159       -0.000443
-15.520000       -0.001477       0.006169       -0.000439
-15.510000       -0.001473       0.009620       -0.000435
-15.500000       -0.001469       0.012204       -0.000432
-15.490000       -0.001465       0.013689       -0.000428
-15.480000       -0.001461       0.013941       -0.000425
-15.470000       -0.001456       0.012939       -0.000421
-15.460000       -0.001452       0.010770       -0.000417
-15.450000       -0.001448       0.007628       -0.000414
-15.440000       -0.001444       0.003794       -0.000410
-15.430000       -0.001440       -0.000391       -0.000407
-15.420000       -0.001436       -0.004553       -0.000403
-15.410000       -0.001432       -0.008320       -0.000400
-15.400000       -0.001428       -0.011354       -0.000396
-15.390000       -0.001424       -0.013385       -0.000392
-15.380000       -0.001421       -0.014230       -0.000389
-15.370000       -0.001417       -0.013813       -0.000385
